Województwo,Dzień,ID,Suma,Ludność,Wskaźnik,
Śląskie,25.10,0,1134,4533565,250,
Mazowieckie,25.10,13,1850,5403412,342,
Małopolskie,25.10,9,1119,3400577,329,
Wielkopolskie,25.10,2,851,3493969,244,
Dolnośląskie,25.10,7,585,2901225,202,
Łódzkie,25.10,12,818,2466322,332,
Pomorskie,25.10,10,499,2333523,214,
Kujawsko-Pomorskie,25.10,5,1150,2077775,553,
Podkarpackie,25.10,8,912,2129015,428,
Lubelskie,25.10,14,700,2117619,331,
Zachodniopomorskie,25.10,3,474,1701030,279,
Świętokrzyskie,25.10,4,405,1241546,326,
Warmińsko-Mazurskie,25.10,11,340,1428983,238,
Opolskie,25.10,1,381,986506,386,
Podlaskie,25.10,6,212,1181533,179,
Lubuskie,25.10,15,312,1014548,308,
Śląskie,26.10,0,1002,4533565,221,
Mazowieckie,26.10,13,1654,5403412,306,
Małopolskie,26.10,9,1144,3400577,336,
Wielkopolskie,26.10,2,458,3493969,131,
Dolnośląskie,26.10,7,462,2901225,159,
Łódzkie,26.10,12,695,2466322,282,
Pomorskie,26.10,10,672,2333523,288,
Kujawsko-Pomorskie,26.10,5,525,2077775,253,
Podkarpackie,26.10,8,729,2129015,342,
Lubelskie,26.10,14,750,2117619,354,
Zachodniopomorskie,26.10,3,560,1701030,329,
Świętokrzyskie,26.10,4,316,1241546,255,
Warmińsko-Mazurskie,26.10,11,370,1428983,259,
Opolskie,26.10,1,335,986506,340,
Podlaskie,26.10,6,206,1181533,174,
Lubuskie,26.10,15,363,1014548,358,
Śląskie,27.10,0,1298,4533565,286,
Mazowieckie,27.10,13,3529,5403412,653,
Małopolskie,27.10,9,1884,3400577,554,
Wielkopolskie,27.10,2,1577,3493969,451,
Dolnośląskie,27.10,7,917,2901225,316,
Łódzkie,27.10,12,1421,2466322,576,
Pomorskie,27.10,10,643,2333523,276,
Kujawsko-Pomorskie,27.10,5,1499,2077775,721,
Podkarpackie,27.10,8,742,2129015,349,
Lubelskie,27.10,14,400,2117619,189,
Zachodniopomorskie,27.10,3,521,1701030,306,
Świętokrzyskie,27.10,4,434,1241546,350,
Warmińsko-Mazurskie,27.10,11,301,1428983,211,
Opolskie,27.10,1,385,986506,390,
Podlaskie,27.10,6,426,1181533,361,
Lubuskie,27.10,15,323,1014548,318,
Śląskie,28.10,0,1868,4533565,412,
Mazowieckie,28.10,13,2644,5403412,489,
Małopolskie,28.10,9,2165,3400577,637,
Wielkopolskie,28.10,2,2885,3493969,826,
Dolnośląskie,28.10,7,1140,2901225,393,
Łódzkie,28.10,12,1860,2466322,754,
Pomorskie,28.10,10,901,2333523,386,
Kujawsko-Pomorskie,28.10,5,1215,2077775,585,
Podkarpackie,28.10,8,1039,2129015,488,
Lubelskie,28.10,14,700,2117619,331,
Zachodniopomorskie,28.10,3,360,1701030,212,
Świętokrzyskie,28.10,4,536,1241546,432,
Warmińsko-Mazurskie,28.10,11,442,1428983,309,
Opolskie,28.10,1,395,986506,400,
Podlaskie,28.10,6,290,1181533,245,
Lubuskie,28.10,15,380,1014548,375,
Śląskie,29.10,0,1994,4533565,440,
Mazowieckie,29.10,13,2255,5403412,417,
Małopolskie,29.10,9,1927,3400577,567,
Wielkopolskie,29.10,2,2633,3493969,754,
Dolnośląskie,29.10,7,857,2901225,295,
Łódzkie,29.10,12,1794,2466322,727,
Pomorskie,29.10,10,953,2333523,408,
Kujawsko-Pomorskie,29.10,5,1403,2077775,675,
Podkarpackie,29.10,8,1306,2129015,613,
Lubelskie,29.10,14,1700,2117619,803,
Zachodniopomorskie,29.10,3,549,1701030,323,
Świętokrzyskie,29.10,4,599,1241546,482,
Warmińsko-Mazurskie,29.10,11,525,1428983,367,
Opolskie,29.10,1,482,986506,489,
Podlaskie,29.10,6,858,1181533,726,
Lubuskie,29.10,15,321,1014548,316,
Śląskie,30.10,0,1761,4533565,388,
Mazowieckie,30.10,13,3416,5403412,632,
Małopolskie,30.10,9,1914,3400577,563,
Wielkopolskie,30.10,2,3082,3493969,882,
Dolnośląskie,30.10,7,999,2901225,344,
Łódzkie,30.10,12,1554,2466322,630,
Pomorskie,30.10,10,1049,2333523,450,
