Województwo,Dzień,ID,Suma,Ludność,Przypadki_na_1_milion_osób,
Śląskie,13.11,0,3841,4533565,847,
Mazowieckie,13.11,13,1410,5403412,261,
Małopolskie,13.11,9,2271,3400577,668,
Wielkopolskie,13.11,2,2866,3493969,820,
Dolnośląskie,13.11,7,2823,2901225,973,
Łódzkie,13.11,12,1557,2466322,631,
Pomorskie,13.11,10,1421,2333523,609,
Kujawsko-Pomorskie,13.11,5,1279,2077775,616,
Podkarpackie,13.11,8,1264,2129015,594,
Lubelskie,13.11,14,526,2117619,248,
Zachodniopomorskie,13.11,3,1331,1701030,782,
Świętokrzyskie,13.11,4,920,1241546,741,
Warmińsko-Mazurskie,13.11,11,746,1428983,522,
Opolskie,13.11,1,802,986506,813,
Podlaskie,13.11,6,402,1181533,340,
Lubuskie,13.11,15,592,1014548,584,
Śląskie,14.11,0,3453,4533565,762,
Mazowieckie,14.11,13,2419,5403412,448,
Małopolskie,14.11,9,2202,3400577,648,
Wielkopolskie,14.11,2,2742,3493969,785,
Dolnośląskie,14.11,7,2794,2901225,963,
Łódzkie,14.11,12,1487,2466322,603,
Pomorskie,14.11,10,1328,2333523,569,
Kujawsko-Pomorskie,14.11,5,955,2077775,460,
Podkarpackie,14.11,8,1162,2129015,546,
Lubelskie,14.11,14,1563,2117619,738,
Zachodniopomorskie,14.11,3,1045,1701030,614,
Świętokrzyskie,14.11,4,1177,1241546,948,
Warmińsko-Mazurskie,14.11,11,990,1428983,693,
Opolskie,14.11,1,799,986506,810,
Podlaskie,14.11,6,695,1181533,588,
Lubuskie,14.11,15,760,1014548,749,
Śląskie,15.11,0,3576,4533565,789,
Mazowieckie,15.11,13,1642,5403412,304,
Małopolskie,15.11,9,1859,3400577,547,
Wielkopolskie,15.11,2,2143,3493969,613,
Dolnośląskie,15.11,7,2016,2901225,695,
Łódzkie,15.11,12,1389,2466322,563,
Pomorskie,15.11,10,1046,2333523,448,
Kujawsko-Pomorskie,15.11,5,1723,2077775,829,
Podkarpackie,15.11,8,926,2129015,435,
Lubelskie,15.11,14,1248,2117619,589,
Zachodniopomorskie,15.11,3,1033,1701030,607,
Świętokrzyskie,15.11,4,685,1241546,552,
Warmińsko-Mazurskie,15.11,11,820,1428983,574,
Opolskie,15.11,1,604,986506,612,
Podlaskie,15.11,6,725,1181533,614,
Lubuskie,15.11,15,419,1014548,413,
Śląskie,16.11,0,3322,4533565,733,
