Województwo,Dzieñ,ID,Suma_zgonow
Œl¹skie,09.11,0,12
Mazowieckie,09.11,13,37
Ma³opolskie,09.11,9,9
Wielkopolskie,09.11,2,14
Dolnoœl¹skie,09.11,7,11
£ódzkie,09.11,12,8
Pomorskie,09.11,10,4
Kujawsko-Pomorskie,09.11,5,26
Podkarpackie,09.11,8,11
Lubelskie,09.11,14,15
Zachodniopomorskie,09.11,3,0
Œwiêtokrzyskie,09.11,4,2
Warmiñsko-Mazurskie,09.11,11,3
Opolskie,09.11,1,1
Podlaskie,09.11,6,16
Lubuskie,09.11,15,4
Œl¹skie,10.11,0,47
Mazowieckie,10.11,13,31
Ma³opolskie,10.11,9,36
Wielkopolskie,10.11,2,32
Dolnoœl¹skie,10.11,7,27
£ódzkie,10.11,12,2
Pomorskie,10.11,10,33
Kujawsko-Pomorskie,10.11,5,16
Podkarpackie,10.11,8,18
Lubelskie,10.11,14,15
Zachodniopomorskie,10.11,3,8
Œwiêtokrzyskie,10.11,4,12
Warmiñsko-Mazurskie,10.11,11,9
Opolskie,10.11,1,26
Podlaskie,10.11,6,15
Lubuskie,10.11,15,3
Œl¹skie,11.11,0,61
Mazowieckie,11.11,13,41
Ma³opolskie,11.11,9,50
Wielkopolskie,11.11,2,34
Dolnoœl¹skie,11.11,7,54
£ódzkie,11.11,12,11
Pomorskie,11.11,10,16
Kujawsko-Pomorskie,11.11,5,20
Podkarpackie,11.11,8,15
Lubelskie,11.11,14,27
Zachodniopomorskie,11.11,3,4
Œwiêtokrzyskie,11.11,4,20
Warmiñsko-Mazurskie,11.11,11,15
Opolskie,11.11,1,33
Podlaskie,11.11,6,18
Lubuskie,11.11,15,10
Œl¹skie,12.11,0,15
Mazowieckie,12.11,13,50
Ma³opolskie,12.11,9,28
Wielkopolskie,12.11,2,25
Dolnoœl¹skie,12.11,7,14
£ódzkie,12.11,12,19
Pomorskie,12.11,10,7
Kujawsko-Pomorskie,12.11,5,10
Podkarpackie,12.11,8,25
Lubelskie,12.11,14,31
Zachodniopomorskie,12.11,3,0
Œwiêtokrzyskie,12.11,4,10
Warmiñsko-Mazurskie,12.11,11,5
Opolskie,12.11,1,10
Podlaskie,12.11,6,12
Lubuskie,12.11,15,14
Œl¹skie,13.11,0,60
Mazowieckie,13.11,13,40
Ma³opolskie,13.11,9,65
Wielkopolskie,13.11,2,38
Dolnoœl¹skie,13.11,7,29
£ódzkie,13.11,12,13
Pomorskie,13.11,10,28
Kujawsko-Pomorskie,13.11,5,45
Podkarpackie,13.11,8,26
Lubelskie,13.11,14,8
Zachodniopomorskie,13.11,3,9
Œwiêtokrzyskie,13.11,4,15
Warmiñsko-Mazurskie,13.11,11,7
Opolskie,13.11,1,21
Podlaskie,13.11,6,9
Lubuskie,13.11,15,6
Œl¹skie,14.11,0,84
Mazowieckie,14.11,13,70
Ma³opolskie,14.11,9,83
Wielkopolskie,14.11,2,37
Dolnoœl¹skie,14.11,7,48
£ódzkie,14.11,12,26
Pomorskie,14.11,10,17
Kujawsko-Pomorskie,14.11,5,32
Podkarpackie,14.11,8,40
Lubelskie,14.11,14,32
Zachodniopomorskie,14.11,3,18
Œwiêtokrzyskie,14.11,4,10
Warmiñsko-Mazurskie,14.11,11,4
Opolskie,14.11,1,27
Podlaskie,14.11,6,16
Lubuskie,14.11,15,4
Œl¹skie,15.11,0,33
Mazowieckie,15.11,13,58
Ma³opolskie,15.11,9,32
Wielkopolskie,15.11,2,43
Dolnoœl¹skie,15.11,7,11
£ódzkie,15.11,12,3
Pomorskie,15.11,10,15
Kujawsko-Pomorskie,15.11,5,9
Podkarpackie,15.11,8,19
Lubelskie,15.11,14,43
Zachodniopomorskie,15.11,3,1
Œwiêtokrzyskie,15.11,4,5
Warmiñsko-Mazurskie,15.11,11,14
Opolskie,15.11,1,8
Podlaskie,15.11,6,5
Lubuskie,15.11,15,4
Œl¹skie,16.11,0,21
Mazowieckie,16.11,13,19
Ma³opolskie,16.11,9,5
Wielkopolskie,16.11,2,15
Dolnoœl¹skie,16.11,7,8
£ódzkie,16.11,12,8
Pomorskie,16.11,10,2
Kujawsko-Pomorskie,16.11,5,3
Podkarpackie,16.11,8,12
Lubelskie,16.11,14,19
Zachodniopomorskie,16.11,3,14
Œwiêtokrzyskie,16.11,4,4
Warmiñsko-Mazurskie,16.11,11,3
Opolskie,16.11,1,4
Podlaskie,16.11,6,5
Lubuskie,16.11,15,1
Œl¹skie,17.11,0,50
Mazowieckie,17.11,13,30
Ma³opolskie,17.11,9,39
Wielkopolskie,17.11,2,32
Dolnoœl¹skie,17.11,7,33
£ódzkie,17.11,12,11
Pomorskie,17.11,10,29
Kujawsko-Pomorskie,17.11,5,18
Podkarpackie,17.11,8,23
Lubelskie,17.11,14,22
Zachodniopomorskie,17.11,3,13
Œwiêtokrzyskie,17.11,4,6
Warmiñsko-Mazurskie,17.11,11,21
Opolskie,17.11,1,24
Podlaskie,17.11,6,6
Lubuskie,17.11,15,0
Œl¹skie,18.11,0,71
Mazowieckie,18.11,13,69
Ma³opolskie,18.11,9,73
Wielkopolskie,18.11,2,55
Dolnoœl¹skie,18.11,7,39
£ódzkie,18.11,12,18
Pomorskie,18.11,10,29
Kujawsko-Pomorskie,18.11,5,19
Podkarpackie,18.11,8,59
Lubelskie,18.11,14,37
Zachodniopomorskie,18.11,3,17
Œwiêtokrzyskie,18.11,4,37
Warmiñsko-Mazurskie,18.11,11,23
Opolskie,18.11,1,18
Podlaskie,18.11,6,23
Lubuskie,18.11,15,16
Œl¹skie,19.11,0,86
Mazowieckie,19.11,13,76
Ma³opolskie,19.11,9,79
Wielkopolskie,19.11,2,54
Dolnoœl¹skie,19.11,7,40
£ódzkie,19.11,12,32
Pomorskie,19.11,10,37
Kujawsko-Pomorskie,19.11,5,35
Podkarpackie,19.11,8,51
Lubelskie,19.11,14,32
Zachodniopomorskie,19.11,3,8
Œwiêtokrzyskie,19.11,4,11
Warmiñsko-Mazurskie,19.11,11,23
Opolskie,19.11,1,19
Podlaskie,19.11,6,22
Lubuskie,19.11,15,32
Œl¹skie,20.11,0,78
Mazowieckie,20.11,13,60
Ma³opolskie,20.11,9,77
Wielkopolskie,20.11,2,72
Dolnoœl¹skie,20.11,7,44
£ódzkie,20.11,12,41
Pomorskie,20.11,10,25
Kujawsko-Pomorskie,20.11,5,13
Podkarpackie,20.11,8,53
Lubelskie,20.11,14,45
Zachodniopomorskie,20.11,3,24
Œwiêtokrzyskie,20.11,4,28
Warmiñsko-Mazurskie,20.11,11,15
Opolskie,20.11,1,15
Podlaskie,20.11,6,22
Lubuskie,20.11,15,14
Œl¹skie,21.11,0,62
Mazowieckie,21.11,13,53
Ma³opolskie,21.11,9,90
Wielkopolskie,21.11,2,50
Dolnoœl¹skie,21.11,7,47
£ódzkie,21.11,12,14
Pomorskie,21.11,10,25
Kujawsko-Pomorskie,21.11,5,33
Podkarpackie,21.11,8,46
